
 Команда			М	В	Н	П	Заб	Проп	О
1 Актобе			24	15	3	6	37	25	48
2 Астана			24	14	5	5	60	22	47
3 Тобол			24	12	5	7	41	32	41
4 Кайрат			24	11	6	7	31	32	39
5 Ордабасы			24	11	3	10	34	37	36
6 Аксу			24	10	3	11	30	34	33
7 Шахтер Караганда	24	9	4	11	30	30	31
8 Каспий			24	9	3	12	25	38	30
9 Тараз			24	6	10	8	25	24	28
10 Атырау			24	7	7	10	27	35	28
11 Кызыл-Жар		24	6	9	9	29	29	27
12 Мактаарал		24	7	6	11	25	38	27
13 Туран			24	5	10	9	22	30	25
14 Акжайык			24	6	6	12	18	28	24

М – матчи, В – выигрыши, Н – ничьи, П – поражения, Заб – забитые голы, Проп – пропущенные голы, О – очки в турнире
